pressure,enthalpy
1.414482116699218750e+02,3.377555541992187500e+02
1.374044036865234375e+02,3.374330444335937500e+02
1.389649200439453125e+02,3.384315795898437500e+02
1.406450347900390625e+02,3.393855285644531250e+02
1.406539764404296875e+02,3.395715637207031250e+02
1.349876861572265625e+02,3.356103515625000000e+02
1.328291473388671875e+02,3.290280761718750000e+02
1.332469635009765625e+02,3.292731933593750000e+02
1.342278289794921875e+02,3.301398925781250000e+02
1.344435119628906250e+02,3.301920776367187500e+02
1.347717132568359375e+02,3.306708984375000000e+02
1.389447326660156250e+02,3.369047241210937500e+02
1.359634552001953125e+02,3.344368896484375000e+02
1.354721374511718750e+02,3.330637512207031250e+02
1.356743774414062500e+02,3.329176330566406250e+02
1.402705535888671875e+02,3.347673645019531250e+02
1.472364959716796875e+02,3.392335815429687500e+02
1.450233917236328125e+02,3.391355285644531250e+02
1.448039550781250000e+02,3.393333435058593750e+02
1.449796447753906250e+02,3.395675354003906250e+02
1.453977355957031250e+02,3.402741088867187500e+02
1.423908386230468750e+02,3.395068969726562500e+02
1.468406372070312500e+02,3.427056274414062500e+02
1.463215179443359375e+02,3.431686401367187500e+02
1.459226226806640625e+02,3.432617797851562500e+02
1.535286865234375000e+02,3.480612792968750000e+02
1.571489257812500000e+02,3.513243408203125000e+02
1.568852844238281250e+02,3.520542907714843750e+02
1.569526214599609375e+02,3.525205383300781250e+02
1.573366546630859375e+02,3.523044738769531250e+02
1.579962768554687500e+02,3.474111633300781250e+02
1.545012207031250000e+02,3.423862304687500000e+02
1.552592468261718750e+02,3.417366333007812500e+02
1.551252746582031250e+02,3.407555847167968750e+02
1.549011383056640625e+02,3.403545227050781250e+02
1.583642578125000000e+02,3.447182617187500000e+02
1.619561157226562500e+02,3.509132080078125000e+02
1.604744567871093750e+02,3.512939758300781250e+02
1.612126922607421875e+02,3.521192626953125000e+02
1.612644348144531250e+02,3.518463745117187500e+02
1.608942718505859375e+02,3.518101196289062500e+02
1.612633209228515625e+02,3.531409301757812500e+02
1.620255889892578125e+02,3.523712768554687500e+02
1.618843994140625000e+02,3.519802551269531250e+02
1.618037719726562500e+02,3.517477111816406250e+02
1.666125183105468750e+02,3.521540222167968750e+02
1.671804351806640625e+02,3.514454650878906250e+02
1.658570404052734375e+02,3.517406921386718750e+02
1.659722290039062500e+02,3.518524780273437500e+02
1.661854858398437500e+02,3.519338989257812500e+02
1.671447296142578125e+02,3.520451049804687500e+02
1.742355041503906250e+02,3.484712524414062500e+02
1.700540161132812500e+02,3.464633789062500000e+02
1.688829345703125000e+02,3.445801391601562500e+02
1.688251647949218750e+02,3.434886169433593750e+02
1.698090515136718750e+02,3.439081115722656250e+02
1.752263488769531250e+02,3.497899475097656250e+02
1.726583404541015625e+02,3.486945800781250000e+02
1.728971862792968750e+02,3.489879760742187500e+02
1.726733398437500000e+02,3.487542419433593750e+02
1.717130432128906250e+02,3.482517395019531250e+02
1.644573669433593750e+02,3.407602539062500000e+02
1.687080688476562500e+02,3.440758666992187500e+02
1.691784667968750000e+02,3.442984924316406250e+02
1.689272003173828125e+02,3.443862304687500000e+02
1.688170928955078125e+02,3.448666687011718750e+02
1.692178344726562500e+02,3.494765014648437500e+02
1.695531005859375000e+02,3.497315063476562500e+02
1.701277923583984375e+02,3.504577026367187500e+02
1.701910705566406250e+02,3.508582153320312500e+02
1.641602783203125000e+02,3.424093322753906250e+02
1.642831573486328125e+02,3.388037719726562500e+02
1.650668792724609375e+02,3.388923339843750000e+02
1.647704467773437500e+02,3.381325683593750000e+02
1.645238494873046875e+02,3.376972961425781250e+02
1.621762390136718750e+02,3.350757446289062500e+02
1.600202178955078125e+02,3.303799438476562500e+02
1.596612854003906250e+02,3.297222900390625000e+02
1.594112854003906250e+02,3.292031250000000000e+02
1.593514709472656250e+02,3.288017883300781250e+02
1.505913848876953125e+02,3.223216247558593750e+02
1.525604095458984375e+02,3.211655883789062500e+02
1.513405761718750000e+02,3.200444641113281250e+02
1.509301300048828125e+02,3.194649353027343750e+02
1.513000946044921875e+02,3.192356262207031250e+02
1.489871520996093750e+02,3.176573486328125000e+02
1.409959869384765625e+02,3.082542114257812500e+02
1.434041748046875000e+02,3.093429870605468750e+02
1.448288116455078125e+02,3.110609436035156250e+02
1.448815612792968750e+02,3.112392883300781250e+02
1.473210449218750000e+02,3.117345886230468750e+02
1.490740966796875000e+02,3.151056823730468750e+02
1.473399810791015625e+02,3.140594787597656250e+02
1.471949005126953125e+02,3.135872192382812500e+02
1.473197021484375000e+02,3.138765869140625000e+02
1.482398376464843750e+02,3.144385986328125000e+02
1.452857360839843750e+02,3.099690246582031250e+02
1.469654388427734375e+02,3.113498840332031250e+02
1.465790863037109375e+02,3.114388427734375000e+02
1.464779663085937500e+02,3.110812377929687500e+02
