Time,pressure,h_ref_out,m_ref_in,m_ref_out,h_ref_in,m_cool,T_cool_in,T_ref_in,T_ref_out,T_cool_out,z_tpsh,gamma,eps_tp,eps_sh,fval,ef
174,159.38521340388,336.774309542361,0.03,0.03,223.350515340125,0.491722305221085,-7.71943472483856,-18.6279151664486,-18.6483941718234,-9.76297474853514,1,0.496312380801136,0.219064204778583,-1.02125639941969,6.1239746838844e-07,2
176,159.316332461652,336.497168899092,0.03,0.03,223.345332739754,0.491717444784741,-7.7194347248413,-18.6386926962756,-18.6591717032278,-9.81264109516015,1,0.495463433735863,0.219402089485948,-1.02630423944577,1.32817064463465e-07,2
178,159.296796884434,336.41902524914,0.03,0.03,223.343867451186,0.491715246883974,-7.71943472484321,-18.6417493511285,-18.6622283585229,-9.84764180353794,1,0.495404258293722,0.219494839674135,-1.02590628962606,1.23618406249379e-07,2
180,159.290351666496,336.422351730806,0.0291944782098054,0.0291944782098054,223.4124701913,0.470320689445177,-7.64130937568775,-18.6432913467395,-18.6627032788078,-9.87288612790021,1,0.494851817230129,0.197245002899407,-1.22492890764045,1.92080793253379e-07,2
182,157.380713475903,332.850291591356,0.0282278520615719,0.0282278520615719,223.386231802049,0.397577123357024,-7.54755895677052,-18.9444430990664,-18.9632082567618,-9.9070368934155,1,0.495258756645997,0.242278623878709,-1.23518098521419,9.54568564664809e-07,2
184,157.41795119132,332.555143659481,0.0282278520615719,0.0282278520615719,223.384275415335,0.397582870826112,-7.54755895677309,-18.938413018194,-18.9571781792787,-9.9378317326506,1,0.495810394432996,0.242096937338806,-1.23588954705359,3.06262303606645e-07,2
186,157.432846259804,332.54912230891,0.0282278520615719,0.0282278520615719,223.38473483751,0.397583455717789,-7.54755895677511,-18.9360009892477,-18.9547661506098,-9.96129870620956,1,0.49561919884336,0.241976878834943,-1.23553519735555,5.56709546393707e-07,2
188,157.435047666904,332.554951862174,0.0282278520615719,0.0282278520615719,223.384877247168,0.397583038551966,-7.54755895677659,-18.9356445050082,-18.9544096663458,-9.97892392047033,1,0.495783325612998,0.241923210892319,-1.23593008919862,3.10598088586246e-07,2
190,157.433159444857,332.548570200321,0.0284493705538754,0.0284493705538754,223.366621490179,0.401629917926276,-7.52494624195209,-18.9357984227533,-18.9548672860338,-9.99229580325393,1,0.495581952382942,0.263850858938069,-1.07440891649039,1.67036752041369e-07,2
192,158.997077959717,335.366872025916,0.03,0.03,223.322846015996,0.462320536925365,-7.36665723810994,-18.6886451918799,-18.7091242047833,-9.91096989528803,1,0.495258792165927,0.227133876246203,-1.01522371621271,2.13762291082252e-07,2
194,159.186987171961,336.074576924314,0.03,0.03,223.336574275008,0.462330655854235,-7.36665723810633,-18.6589308449293,-18.6794098539557,-9.8537436284478,1,0.495241022155025,0.226077476935953,-1.0034020621573,2.22393340803998e-07,2
196,159.234467919345,336.262240176579,0.03,0.03,223.340113245433,0.462334063704402,-7.36665723810382,-18.651501719318,-18.6719807272828,-9.81333355251492,1,0.496797355262797,0.225888504551817,-1.00010591067046,4.8529904543854e-06,0
198,159.25007070138,336.317185321894,0.03,0.03,223.341209301397,0.46233581416651,-7.36665723810199,-18.64906041341,-18.6695394210885,-9.78415404224089,1,0.496685028147112,0.225814778312963,-0.997935691349721,3.24895769167006e-07,2
200,159.256401671515,336.350058595346,0.0292039710736422,0.0292039710736422,222.629634118841,0.465349738721734,-7.39931364543579,-18.6485680781916,-18.6680505922214,-9.76358265138903,1,0.49499836990345,0.243574082700944,-0.248420082290823,1.17436414011003e-08,2
202,160.781240509196,347.259177736533,0.0250248192102635,0.0250248192102635,219.099742754255,0.50000627468489,-7.57075978392418,-18.4125983193724,-18.4268492576829,-9.74303436583944,1,0.49231116872629,0.195474782615749,-0.0602893076974198,1.9137819489828e-06,0
204,161.049041574152,349.779675221069,0.0250248192102635,0.0250248192102635,219.145314683609,0.499998957924253,-7.57075978392323,-18.370696547304,-18.3849474671652,-9.72555454906008,1,0.494935515384141,0.193905204342297,-0.0221051675694437,1.11768123460565e-09,2
